Authors,Title,Year,Abstract,Keywords
"Ruggieri R., Savastano M., Scalingi A., Bala D., D’Ascenzo F.",The impact of Digital Platforms on Business Models: An empirical investigation on innovative start-ups,2018,"Digital platforms have the ability to connect people, organizations and resources with the aim of facilitating the core interactions between businesses and consumers as well as assuring a greater efficiency for the business management. New business concepts, such as innovative start-ups, are therefore created based on innovation, scalability and the relationships within the community around them. The purpose of this work is to deeply understand the evolution of business models brought by innovative and dynamic companies operating through online platforms. In order to achieve the objectives set, an exploratory multiple-case study was designed based on in-depth structured interviews. The aim was to conduct a mixed analysis, in order to rely both on qualitative and quantitative data. The structured interview protocol was therefore designed to collect and then analyse data concerning the company profile and managers’ perspectives on the phenomenon of interest. The interview protocol was submitted in advance and then face-to-face interviews were carried out with the following professional figures: Chief Executive Officer (CEO), General Manager, Chief Technology Officer (CTO), Marketing Manager and Developers. Collected data were analysed and processed through the Canvas Business Model in order to clearly outline similarities and differences among the sample. Results can be considered under two viewpoints. On the one hand, this work provides a detailed overview of the companies interviewed, according to the dimensions of: reference market dynamics, type and number of customers, scalability. On the other one, they allow to identify some success patterns regarding key activities, key resources, channel mix strategy, costs management, value proposition, customer segmentation, key partners and the way to obtain revenues. Results from the multiple-case study with 15 Italian start-ups provide interesting insights by comparing the innovative business models developed and highlighting key differences and similarities. Overall, the start-ups analyzed, operating in several sectors, showed great growth prospects and the possibility to create value for their customers through innovative products and services offered through digital platforms. © 2018, Sciendo. All rights reserved.",Business model innovation; Canvas business model; Co-creation; Digital economy; Digital platforms; Digital transformation; Multi-sided platforms; Platform economy
"Shaibu A.-F., Hudu Z., Israel M.",Digital technology and rural livelihood - A study of peasant communities in Pru district,2018,"There are a number of ways by which access to ICT can help boost economic activities of communities in a country with the mobile phone being the most common ICT tool especially in Sub Saharan Africa. To examine the impact of digital technology on rural livelihoods in the Pru district of the Brong Ahafo region of Ghana, a survey of 212 peasant farmers was conducted. The probit regression results indicate that, digital technology adoption is significantly influenced by age, cost and availability of the technology. Furthermore, digital technologies contribute to the improvement of rural livelihoods by expanding and strengthening social capital, increase people's ability to deal with emergencies and enhanced efficiency. © 2018 Faculty of Economics and Management.",Adoption; Digital technology; ICT; Livelihood; Peasant farmers; Rural communities; Social capital
"Nicolescu R., Huth M., Radanliev P., De Roure D.",Mapping the values of IoT,2018,"We investigate the emerging meanings of “value” associated with the Internet of Things. Given the current political economy, we argue that the multiple meanings of “value” cannot be reduced to a single domain or discipline, but rather they are invariably articulated at the juxtaposition of three domains: social, economic, and technical. We analyse each of these domains and present domain challenges and cross-domain implications – drawing from an interdisciplinary literature review and gap analysis across sources from academia, business, and governments. We propose a functional model that aggregates these findings into a value-driven logic of the emerging global political economy enabled by digital technology in general and IoT in particular. These conceptual contributions highlight the critical need for an interdisciplinary understanding of the meaning of “value”, so that IoT services and products will create and sustain such concurrent meanings during their entire lifecycle, from design to consumption and retirement or recycling. © 2018, Association for Information Technology Trust.","internet of things; political economy; social, economic, and technical values"
Kotishwar A.,Impact of digitalization on select banks,2018,"An economy is said to be cashless where the transaction of money is in the digital form other than cash. Demonetization brought a massive radical change in the transaction mode in the general public, and the positive side to it is our nation took a greater leap towards a cashless economy. The present study focused on the impact of technology on select banks with respect to transactions pertaining to online digital transactions and their contribution towards business per employee of respective banks and to assess the impact of 3G/4G communication technology on select banks with respect to transactions pertaining to credit and debit cards, NEFT, RTGS, mobile phone based transactions, and ECS and their contribution towards business per employee of respective banks. © 2018, Associated Management Consultants Pvt. Ltd. All rights reserved.",Cashless economy; Credit cards; Debit cards; Demonetization; Digitalization; Mobile bank; RTGS
"Jovanović M., Dlačić J., Okanović M.",Digitalization and society’s sustainable development – Measures and implications [Digitalizacija i održivi razvoj društva – Mjere i implikacije],2018,"This paper examines the relationship between digitalization and sustainable development and presents the composite index used for measuring the digital competitiveness of nations – the Digital Economy and Society Index (DESI). Today’s environment is highly dependent on technological capabilities. Tracking contemporary technological development is becoming crucial at both micro and macro level. One of the major revolutions in modern business is switching from traditional to digital business models for achieving higher competitiveness level. Digitalization is one of the primary impetus of today’s development. To accept and implement these changes, it is important to highlight the macromarketing role in this process. It is necessary to have concrete measures for identifying the shortcomings, good practices, and track the development. For this purpose, European Commission developed DESI to measure digital performance of European Union countries. This paper examines the DESI methodology and observes how the digital performance of EU affects main sustainable development components: economic, social, and environmental. Thus, the paper explores the correlations of DESI and other composite indices that measure sustainability components. Besides, the research examined the relationships between Hofstede’s cultural dimensions and digital performance. The paper highlights the importance of digitalization as another crucial component of society’s sustainable development. © 2019, UNIVRIJEKA. All rights reserved.",Digitalization; Macromarketing; Performance indicators; Society; Sustainable development
"Cukier D., Kon F.",A maturity model for software startup ecosystems,2018,"Resulting from the digital revolution of the last decades, multiple startup hubs flourished across the globe in the past 10 years. Healthy environments for the development of innovative, nascent digital enterprises require a well-balanced variety of agents and supporting processes, which we collectively call a software startup ecosystem. These ecosystems are fundamental for the insertion of countries in the digital economy of the twenty-first century. However, having all the elements that compose such environments in the most advanced and prolific state is difficult and relatively rare. In this paper, we show that startup ecosystems can evolve over time passing through a sequence of maturity level stages. For that, we introduce a maturity model for software startup ecosystems based on systematic qualitative research around a multiple case study we conducted across three ecosystems. The study was carried out over 4 years and included an extensive array of data collection mechanisms such as literature reviews, expert interviews, and observations in three relevant ecosystems (Tel-Aviv, São Paulo, and New York); all collected data were analyzed with techniques based on Grounded Theory, resulting in a conceptual framework of software startup ecosystems. Finally, we developed a maturity model for startup ecosystems, which helps us understand their evolution and dynamics. Moreover, it can serve as a basis for stakeholders in less mature ecosystems to analyze their environment, identify weak spots, and propose policies and practical actions for improving their ecosystems over time. © 2018, The Author(s).",Entrepreneurship; Innovation; Maturity model; Qualitative methods; Software startups; Startup ecosystems
Hackl A.,Mobility equity in a globalized world: Reducing inequalities in the sustainable development agenda,2018,"Human mobility and inequality have determined one another throughout modern history, from the effects of labour migration to processes of urbanisation. The Sustainable Development Goals now offer an opportunity to re-examine this complex relationship in a globalized world. Drawing on major research evidence and key debates, this review article proposes a framework of mobility equity as part of SDG 10, which foresees the reduction of inequalities within and among countries by 2030. The main question addressed is how forms of social, human and digital mobility, including migration, can contribute to reduced inequalities and positive development outcomes. The reviewed research underpins the need for an approach that prioritizes equality of opportunity over equality of outcomes. Mobility equity offers such an approach and rests on two main foundations: people's equal capacity and freedom to be mobile in empowering ways, and the equal and inclusive regulation of mobility in all its forms, including human, social and digital mobility. The approach goes beyond income inequality and migrants’ remittances to incorporate the differential mobility capacities among people in different contexts. This includes categorically excluded groups such as refugees, racialized minorities, and lower castes, but also tens of millions of workers in the global digital economy. As part of a special issue on new SDG Perspectives, the article provides new ideas for thinking about research and policy-making within the wider inequality-mobility nexus of global development. © 2018 Elsevier Ltd",Equity; Globalisation; Inequality; Migration; Mobility; SDGs
"Leorke D., Wyatt D., McQuire S.",“More than just a library”: Public libraries in the 'smart city’,2018,"This paper argues that the transformation of the contemporary public library can be usefully understood by situating it within the context of the technology-driven urban vision of the 'smart city’. We explore this through a focus on a recent public library development in Australia where a high-profile new library features as a signature investment in the city's broader digital and 'smart city’ strategies. In analysing the library's entanglement with the digital visions of this city, our case study reveals the uneven and often contradictory impacts that characterize the digital economy. We argue that the articulation of a technology-led agenda with neoliberal governance settings has produced institutional tensions that go to the core of the library's role in public life, challenging us to consider how libraries might best serve a range of rapidly changing and competing needs and publics. We find that while libraries have been forced to make certain changes, they have also developed proactive responses to new technology. Efforts to reinvent themselves as ‘hubs’, ‘makerspaces’ and co-located community centres offering enriched spaces for social gathering, targeted learning, and new forms of creative production, including entrepreneurial activity and innovation, are strategies for maintaining and extending the traditional remit of the public library. However, these transformations are not adequately recognised within the structures through which libraries are evaluated and funded, thus making them vulnerable to future governmental agendas. © 2018 Elsevier Ltd",Community planning; Creative cities; Cultural infrastructure; Digitisation; Libraries; Smart cities
Khalifa A.B.,Government supports and technology adoption: Evidence From Tunisia,2018,"This study investigates the effect of Industrial Upgrading and Modernization Program (IUMP) on the information and communication technology (ICT) adoption in Tunisia. Based on the Industrial Upgrading Survey 2016, we use the matching estimators to estimate the effect of subsidies, granted in the framework of IUMP, on the adoption of three groups of ICT (Software, Hardware and Network communications). Our results show that although the IUMP has a positive impact on the intensity of ICT adoption, the level of adoption remained under that the transition to knowledge economy requires. We also find that investment incentive has reduced the digital gap between developed and backward regions in the adoption of Software and Network communications, by contrast to the case of Hardware, for which the gap has increased. © 2018, Economic Research Institute of Chung-Ang University.",Average treatment effect; Digital divide; ICT; Matching estimators; Regional disparity; Subsidies
"Pritvorova T., Tasbulatova B., Petrenko E.",Possibilities of blitz-psychograms as a tool for human resource management in the supporting system of hardiness of company,2018,"The article describes the psychogram method as a tool for human resource management. The article describes the psychogram method as a tool for human resource management, the use of which is provided by the availability of platform technologies in the modern digital economy. The presence in the market space of firms that provide platform services for complex psychological diagnosis enables the manager to adequately assess the required behavioral competencies of the applicant, using as a standard the system of basic parameters corresponding to this position. The system of basic parameters is formed on the basis of the method of blitz-psychogram after passing by professional employees of this firm professional tests based on platform technologies. This allows the company to identify the character traits, motivation, preferred activities and role in the team with efficient employees with minimal own expenses. Applicants who meet the parameters of a psychographic portrait will be internally motivated for this type of activity. This will further reduce the risk of staff turnover, increase the effectiveness of training and the effectiveness of other actions of human resources management by activating the employee's internal motivation in this type of activity. © 2018 by author(s) and VsI Entrepreneurship and Sustainability Center.",Behavioral competency; Human resource management; Motivation; Platform technologies; Psychogram
Barnett J.M.,"The costs of free: Commoditization, bundling and concentration",2018,"Digital markets offer abundant free content but exhibit extreme concentration among content aggregation intermediaries. These characteristics are linked. Weak copyright environments select against stand-alone content-delivery structures and select for bundled aggregation structures in which free content for users promotes positively priced advertising and data-collection services for firms. Dominant intermediaries promote commoditization, and the reallocation of market rents from content producers to content aggregators, through litigation and free content distribution that weaken copyright protections. The potential net welfare effects raise concern. Network effects, compounded by weak inventory constraints, scale economies, and learning effects, promote winner-takes-all outcomes in the intermediary services market while weak copyright may generate output distortions in the content production market. © Millennium Economics Ltd 2018.",
"Kim A., Lahiri A., Dey D.","The ""invisible hand"" of piracy: An economic analysis of the information-goods supply chain",2018,"In this paper, we study the economic impact of piracy on the supply chain of information goods. When information goods are sold to consumers via a retailer, in certain situations, a moderate level of piracy seems to have a surprising positive impact on the profits of the manufacturer and the retailer while, at the same time, enhancing consumer welfare. Such a ""win-win-win"" situation is not only good for the supply chain, but is also beneficial for the overall economy. The economic rationale for this surprising result is rooted in how piracy interacts with double marginalization. We explain this rationale and develop useful insights for management and policy. Copyright © 2018 MISQ.",Digital goods; Double marginalization; Piracy; Profit; Retailer; Supply chain; Welfare
"Dutta P., Borah A.S.",A Study on Role of Moderating Variables in Influencing Employees’ Acceptance of Information Technology,2018,"Penetration of information technology (IT) in almost every sector of the Indian economy is occurring at a very rapid pace. This has brought about a great transformation from a paper world to a digital world. Employees face new technological changes in their workplace almost every day. Some employees welcome the changes brought about by technology while others resist it and become defensive. These differences in employees’ reactions are influenced by a host of moderating variables existing in the environment. For the purpose of the present study, the researchers have adopted three moderating variables, namely, age, gender and experience (from the unified theory of acceptance and use of technology [UTUAT] model of Venkatesh, Morris, Davis, and Davis (2003, MIS Quarterly, 27, 3, 425–478). Hence, the article attempts to study the influence of the aforementioned moderating variables on the employees’ acceptance of IT at their workplace. The study has been conducted in the post offices falling under the Nalbari-Barpeta division of the Assam postal circle. The study is based on both the primary and secondary data. © 2018 Management Development Institute.",Employees’Acceptance; Experience; Information Technology; Moderating Variables
Podbiralina G.,Basic directions of foreign trade and internal co-operation of the eurasian economic union countries,2018,"The external economic model of the Eurasian Economic Union (EAEU) is constantly improved in order to achieve deep integration and maximize the economic benefits of its members both within the EAEU and with third countries. A combination of theoretical and quantitative analysis, systematization, comparison, and descriptive statistics has made it possible to identify the main trends in the development of Eurasian integration (creating a single market of production factors and digital space, comfortable conditions for doing business and full realization of human capital) and the factors affecting cooperation of the countries participating in the EAEU (the consequences of economic crises in Russia and other member countries; internal barriers, seizures and restrictions, growing protectionism in international trade and sectoral pressure on the economy of Russia being one of the largest in the union). The paper assesses the development of trade cooperation of the member countries. The main vectors of foreign trade of the member countries of the Eurasian Economic Union (the European Union, the countries of the Asia-Pacific) have been identified. An assessment of the prospects for foreign trade cooperation of the EAEU is made and the influence of this factor on the economic development of the countries participating in cooperation agreements is found. © 2018, by ASERS® Publishing. All rights reserved.",Eurasian Economic Union; Foreign trade indicators; Foreign trade turnover; Sanctions
"Harper D.A., Endres A.M.",From Quaker Oats to Virgin Brides: Brand capital as a complex adaptive system,2018,"We examine brand building from the perspective of complex adaptive systems. Brand building is a neglected engine of capital formation, innovation and institutional change in market economies. The nature of brands and the service streams they generate have been construed too narrowly. Brands are capital: entrepreneurs use brands as market-making devices that create value and capture profit, while consumers use brands to derive psychic income and lifestyle benefits. Brands are building blocks that can be combined in production to fill perceived gaps in brand architectures and capital structures. These structures are themselves complex adaptive systems. In an era of digital technological platforms, complex generative networks are the institutional locus of brand creation and brand extensions. Innovation in brand building is a socially distributed, service-intensive and interpretive process; it entails combinatorial experiments in resource integration by heterogeneous and socially connected actors, such as entrepreneur-producers, end-users and distributors. Legal brand owners never have total control over their brands - customer networks often exercise substantial de facto control rights (economic property rights) over the use and transformation of brands. Both the entire branding system (as a form of organization) and individual iconic brands can crystallize into relatively stable institutions that orient and coordinate market behaviour. © 2017 Millennium Economics Ltd.",
"Engle R., Zazzara C.","Systemic risk in the financial system: Capital shortfalls under brexit, the us elections and the italian referendum",2018,"Recent episodes of stress in the financial system have fostered a great deal of discussion regarding new supervisory and regulatory tools for financial institutions. The recent introduction of additional capital requirements for systemically important financial institutions is one example of the concrete measures that are being taken by regulators to mitigate systemic risk. In order to assist market participants in assessing and tracking systemic risk in the financial system, the Volatility Laboratory of the NYU Stern School of Business developed a quantitative indicator, called SRISK, which estimates the expected capital shortfall faced by a firm in a potential future financial crisis. Conceptually, SRISK is similar to the stress tests that are regularly applied to financial institutions; however, it is based exclusively on publicly available information (market and accounting data) and is quick and inexpensive to compute. Those firms with a high capital shortfall in a crisis – that is, when capital is low in the financial system – are the ones with the potential to extend the crisis and impact the broader economy. We use SRISK to quantify the estimated capital shortfalls of financial institutions under three relevant stress events that occurred in 2016: Brexit, the Trump election and the Italian referendum.We refer to these events collectively as BRUMPIT. Our empirical results confirm the usefulness of SRISK in assessing the sensitivity of individual financial institutions to the BRUMPIT events. This highlights the transmission channels in terms of systemic risk. © 2018 Infopro Digital Risk (IP) Limited.",Forecasting methods; Regulatory capital requirements; Stress testing; Systemic risk
